"neighbourhood_name","num_of_species","average_age","max_age","min_age"
"ARBUTUS-RIDGE",121,7249.52072343632,12413,1664
"DOWNTOWN",79,6699.376,12391,1633
"DUNBAR-SOUTHLANDS",161,6917.90246488206,12410,1643
"FAIRVIEW",119,7159.54172560113,12343,1637
"GRANDVIEW-WOODLAND",146,7069.20103425986,12388,1595
"HASTINGS-SUNRISE",176,7704.68559670782,12348,1640
"KENSINGTON-CEDAR COTTAGE",159,7513.04945242984,12382,1644
"KERRISDALE",138,6817.11291929592,12402,1643
"KILLARNEY",122,7203.72736590366,12410,1605
"KITSILANO",171,6784.17667706708,12314,1633
"MARPOLE",139,6974.45224541429,12405,1592
"MOUNT PLEASANT",134,7421.25542740841,12409,1575
"OAKRIDGE",133,7274.92822247275,12043,1619
"RENFREW-COLLINGWOOD",170,7015.35782747604,12401,1632
"RILEY PARK",154,7114.14169430208,12321,1631
"SHAUGHNESSY",150,6821.03173996176,12406,1611
"SOUTH CAMBIE",127,7520.07305194805,12326,1632
"STRATHCONA",122,6647.74611032532,12013,1644
"SUNSET",147,7002.3559912854,12416,1617
"VICTORIA-FRASERVIEW",131,7071.84830917874,12385,1646
"WEST END",120,7190.4262295082,12339,1609
"WEST POINT GREY",137,7017.62505978001,12389,1633
